NU_ANO_CENSO;NO_MUNICIPIO;CO_MUNICIPIO;NO_ENTIDADE;TP_DEPENDENCIA;QT_MAT_BAS;QT_MAT_INF;QT_MAT_INF_CRE;QT_MAT_INF_PRE;QT_MAT_FUND;QT_MAT_FUND_AI;QT_MAT_FUND_AF
2014;Cajazeiras;2503704;COLEGIO ALTERNATIVO MASTER;4;59;24;8;16;35;26;9
2014;Cajazeiras;2503704;EEIFM ARCO IRIS;4;200;29;12;17;171;84;87
2014;Cajazeiras;2503704;EEEFM PROF MANOEL MANGUEIRA LIMA;2;629;0;0;0;328;0;328
2014;Cajazeiras;2503704;EEEFM PROFº CRISPIM COELHO;2;730;0;0;0;201;0;201
2014;Cajazeiras;2503704;EEEF DOM MOISES COELHO;2;872;0;0;0;772;133;639
2014;Cajazeiras;2503704;EEEF DESEMBARGADOR BOTO DE MENEZES;2;267;0;0;0;220;220;0
2014;Cajazeiras;2503704;EEEIEF JANDUY CARNEIRO;2;66;0;0;0;66;66;0
2014;Cajazeiras;2503704;EEEF CEL JOAQUIM MATOS;2;194;0;0;0;165;165;0
2014;Cajazeiras;2503704;EEEFM CRISTIANO CARTAXO;2;445;0;0;0;0;0;0
2014;Cajazeiras;2503704;EEEF JOAQUIM VICTOR JUREMA;2;193;0;0;0;151;151;0
2014;Cajazeiras;2503704;EEEF MONSENHOR JOAO MILANES;2;224;0;0;0;210;0;210
2014;Cajazeiras;2503704;EEEF SINHAZINHA RAMALHO;2;223;0;0;0;186;186;0
2014;Cajazeiras;2503704;EEEFM MONS CONSTANTINO VIEIRA;2;819;0;0;0;21;0;21
2014;Cajazeiras;2503704;EEEF DE FAZENDA SAO JOSE;2;48;0;0;0;20;20;0
2014;Cajazeiras;2503704;EEEF JOSE MANOEL DE ABREU;2;80;0;0;0;40;40;0
2014;Cajazeiras;2503704;EMEIEF ANTONIO DE SOUSA DIAS;3;543;54;0;54;464;196;268
2014;Cajazeiras;2503704;EMEIEF GABRIEL LUCINDO PEREIRA;3;44;7;0;7;37;37;0
2014;Cajazeiras;2503704;EMEIEF FRANCISCO ARCANJO DE ALBUQUERQUE;3;17;5;0;5;12;12;0
2014;Cajazeiras;2503704;EMEIEF TRAJANO BORGES;3;24;5;0;5;19;19;0
2014;Cajazeiras;2503704;EMEIEF ANIBAL GOMES DE SA;3;0;0;0;0;0;0;0
2014;Cajazeiras;2503704;EMEIEF AUGUSTO BERNARDINO DE SOUZA;3;171;27;0;27;144;91;53
2014;Cajazeiras;2503704;EMEIEF CAROLINO DE SOUSA NETO;3;191;20;0;20;171;91;80
2014;Cajazeiras;2503704;EMEIEF CECILIA ESTOLANO MEIRELES;3;450;63;0;63;387;190;197
2014;Cajazeiras;2503704;EMEIEF COSTA E SILVA;3;642;78;0;78;420;182;238
2014;Cajazeiras;2503704;EMEIEF JOSE DANIEL DE SOUSA;3;21;3;0;3;18;18;0
2014;Cajazeiras;2503704;EMEIEF DR PAULO PIRES FERREIRA;3;0;0;0;0;0;0;0
2014;Cajazeiras;2503704;EMEIEF GALDINO PIRES FERREIRA;3;0;0;0;0;0;0;0
2014;Cajazeiras;2503704;EMEIEF JOAO BATISTA DE ALBUQUERQUE;3;0;0;0;0;0;0;0
2014;Cajazeiras;2503704;EMEIEF JOAO FRANCISCO DE SOUZA;3;18;7;0;7;11;11;0
2014;Cajazeiras;2503704;EMEIEF JOSE COSMO DE ABREU;3;19;5;0;5;14;14;0
